,Nome do município,Estado,Região,PIB,Valores de importação 2020,Valores de exportação 2020
0,Alta Floresta D'Oeste,Rondônia,Norte,261627860.2,11415,56325
1,Ariquemes,Rondônia,Norte,1361632359.0,1362563,30268645
2,Cabixi,Rondônia,Norte,69240984.0,0,341026
3,Cacoal,Rondônia,Norte,1184009605.0,15756,27978787
4,Cerejeiras,Rondônia,Norte,221787569.2,37507,92889335
5,Colorado do Oeste,Rondônia,Norte,192240979.1,0,4685
6,Corumbiara,Rondônia,Norte,114542264.9,,
7,Costa Marques,Rondônia,Norte,107698520.3,0,17064
8,Espigão D'Oeste,Rondônia,Norte,311299974.5,0,3777716
9,Guajará-Mirim,Rondônia,Norte,597978961.5,1411125,9451453
10,Jaru,Rondônia,Norte,795698342.1,172434,81070922
11,Ji-Paraná,Rondônia,Norte,1853561428.0,1202004,112467788
12,Machadinho D'Oeste,Rondônia,Norte,271927797.1,0,11808475
13,Nova Brasilândia D'Oeste,Rondônia,Norte,173743277.8,2141211,1393367
14,Ouro Preto do Oeste,Rondônia,Norte,477373186.4,31531,1851425
15,Pimenta Bueno,Rondônia,Norte,541222011.5,53691506,50543049
16,Porto Velho,Rondônia,Norte,9098073878.0,496278931,197625518
17,Presidente Médici,Rondônia,Norte,235402956.8,7634071,0
18,Rio Crespo,Rondônia,Norte,43042542.16,,
19,Rolim de Moura,Rondônia,Norte,627293713.3,31928,282778894
20,Santa Luzia D'Oeste,Rondônia,Norte,98649439.62,,
21,Vilhena,Rondônia,Norte,1445453639.0,3043719,330650263
22,São Miguel do Guaporé,Rondônia,Norte,324576029.9,0,39361325
23,Nova Mamoré,Rondônia,Norte,218068970.3,,
24,Alvorada D'Oeste,Rondônia,Norte,160398090.4,,
25,Alto Alegre dos Parecis,Rondônia,Norte,119809863.4,,
26,Alto Paraíso,Rondônia,Norte,152011439.0,0,116065
27,Buritis,Rondônia,Norte,335672139.3,33337,988674
28,Novo Horizonte do Oeste,Rondônia,Norte,95649689.6,,
29,Cacaulândia,Rondônia,Norte,76921079.28,,
30,Campo Novo de Rondônia,Rondônia,Norte,117811856.4,0,83856
31,Candeias do Jamari,Rondônia,Norte,280733038.7,0,0
32,Castanheiras,Rondônia,Norte,39852884.5,,
33,Chupinguaia,Rondônia,Norte,165492222.4,0,67363867
34,Cujubim,Rondônia,Norte,209777432.8,,
35,Governador Jorge Teixeira,Rondônia,Norte,110944909.4,,
36,Itapuã do Oeste,Rondônia,Norte,90250776.38,0,3046179
37,Ministro Andreazza,Rondônia,Norte,99755081.12,0,735404
38,Mirante da Serra,Rondônia,Norte,115084754.2,0,0
39,Monte Negro,Rondônia,Norte,148384852.8,0,514376
40,Nova União,Rondônia,Norte,70642655.26,,
41,Parecis,Rondônia,Norte,49965462.3,0,210
42,Pimenteiras do Oeste,Rondônia,Norte,43664465.1,,
43,Primavera de Rondônia,Rondônia,Norte,35083992.52,,
44,São Felipe D'Oeste,Rondônia,Norte,58688920.14,,
45,São Francisco do Guaporé,Rondônia,Norte,173719181.3,,
46,Seringueiras,Rondônia,Norte,117141708.0,,
47,Teixeirópolis,Rondônia,Norte,49906871.04,,
48,Theobroma,Rondônia,Norte,105508481.7,,
49,Urupá,Rondônia,Norte,121457268.7,,
50,Vale do Anari,Rondônia,Norte,91657187.76,,
51,Vale do Paraíso,Rondônia,Norte,89121602.5,,
52,Acrelândia,Acre,Norte,122174911.1,,
53,Assis Brasil,Acre,Norte,42051696.72,0,60168
54,Brasiléia,Acre,Norte,190633284.1,260703,5832265
55,Bujari,Acre,Norte,86164385.99,,
56,Capixaba,Acre,Norte,108346754.1,,
57,Cruzeiro do Sul,Acre,Norte,774060963.4,256155,1108
58,Epitaciolândia,Acre,Norte,145086236.0,293145,10070224
59,Feijó,Acre,Norte,201274630.6,,
60,Jordão,Acre,Norte,41522376.79,,
61,Mâncio Lima,Acre,Norte,95251752.54,,
62,Manoel Urbano,Acre,Norte,55796128.72,0,2827306
63,Marechal Thaumaturgo,Acre,Norte,96130558.57,,
64,Plácido de Castro,Acre,Norte,132887381.7,,
65,Porto Walter,Acre,Norte,60315499.68,,
66,Rio Branco,Acre,Norte,5125379270.0,2043495,7315365
67,Rodrigues Alves,Acre,Norte,124573487.0,,
68,Santa Rosa do Purus,Acre,Norte,36475996.34,,
69,Senador Guiomard,Acre,Norte,185250888.0,0,18228
70,Sena Madureira,Acre,Norte,265095975.8,0,146586
71,Tarauacá,Acre,Norte,228727320.7,,
72,Xapuri,Acre,Norte,118046472.4,0,3428278
73,Porto Acre,Acre,Norte,115278038.4,,
74,Alvarães,Amazonas,Norte,58382644.32,,
75,Amaturá,Amazonas,Norte,36121622.51,,
76,Anamã,Amazonas,Norte,51831453.7,,
77,Anori,Amazonas,Norte,64296485.82,,
78,Apuí,Amazonas,Norte,105009081.0,,
79,Atalaia do Norte,Amazonas,Norte,68637937.98,,
80,Autazes,Amazonas,Norte,155985539.5,94905,0
81,Barcelos,Amazonas,Norte,93692217.08,0,0
82,Barreirinha,Amazonas,Norte,117647836.9,,
83,Benjamin Constant,Amazonas,Norte,136982761.2,0,77475
84,Beruri,Amazonas,Norte,73636549.44,,
85,Boa Vista do Ramos,Amazonas,Norte,55198663.53,,
86,Boca do Acre,Amazonas,Norte,153428949.0,0,351210
87,Borba,Amazonas,Norte,158239079.8,3647893,444222
88,Caapiranga,Amazonas,Norte,67100491.5,,
89,Canutama,Amazonas,Norte,49283576.76,,
90,Carauari,Amazonas,Norte,129536257.9,,
91,Careiro,Amazonas,Norte,144944842.6,,
92,Careiro da Várzea,Amazonas,Norte,187409948.7,,
93,Coari,Amazonas,Norte,1999682149.0,1618385,0
94,Codajás,Amazonas,Norte,120683963.3,,
95,Eirunepé,Amazonas,Norte,151068976.0,,
96,Envira,Amazonas,Norte,71448688.08,,
97,Fonte Boa,Amazonas,Norte,96119806.88,8272,0
98,Guajará,Amazonas,Norte,51141625.98,,
99,Humaitá,Amazonas,Norte,216831712.9,65121,68145
100,Ipixuna,Amazonas,Norte,69640554.9,,
101,Iranduba,Amazonas,Norte,304694833.7,358515,6454674
102,Itacoatiara,Amazonas,Norte,825627871.2,2300875,59042796
103,Itamarati,Amazonas,Norte,42856928.02,,
104,Itapiranga,Amazonas,Norte,81911293.8,,
105,Japurá,Amazonas,Norte,32792934.24,,
106,Juruá,Amazonas,Norte,48467709.84,,
107,Jutaí,Amazonas,Norte,89780619.76,,
108,Lábrea,Amazonas,Norte,205274404.8,,
109,Manacapuru,Amazonas,Norte,644393915.6,2890,2339851
110,Manaquiri,Amazonas,Norte,124428021.1,,
111,Manaus,Amazonas,Norte,50207678028.0,9614565147,654565826
112,Manicoré,Amazonas,Norte,250183569.2,0,0
113,Maraã,Amazonas,Norte,65604148.96,,
114,Maués,Amazonas,Norte,273409492.3,0,143858
115,Nhamundá,Amazonas,Norte,69375245.68,,
116,Nova Olinda do Norte,Amazonas,Norte,128176980.2,9952529,0
117,Novo Airão,Amazonas,Norte,73368684.21,,
118,Novo Aripuanã,Amazonas,Norte,78481486.64,0,69653
119,Parintins,Amazonas,Norte,576499714.3,0,197892
120,Pauini,Amazonas,Norte,76463237.24,,
121,Presidente Figueiredo,Amazonas,Norte,314764764.0,1206018,49245652
122,Rio Preto da Eva,Amazonas,Norte,192771363.5,322819,0
123,Santa Isabel do Rio Negro,Amazonas,Norte,65301465.82,,
124,Santo Antônio do Içá,Amazonas,Norte,83704455.96,,
125,São Gabriel da Cachoeira,Amazonas,Norte,164541021.4,39895,4495
126,São Paulo de Olivença,Amazonas,Norte,108816585.5,,
127,São Sebastião do Uatumã,Amazonas,Norte,42474442.6,,
128,Silves,Amazonas,Norte,48173611.08,83668412,0
129,Tabatinga,Amazonas,Norte,235849695.8,0,63802
